FIPS,State,County,Len_Life_Rank,perc_Adults_Obesity,95_Cl_low_obs,95_Cl_high_obs,Avg_num_Physical_Unhealthy_Days,Avg_num_Mental_Unhealthy_Days,Food_Environment_Index,perc_Physically_Inactive,perc_With_Access_Exercise,num_Uninsured,perc_Uninsured,num_Primary_Care_Physicians,Primary_Care_Physicians_Rate,Primary_Care_Physicians_Ratio,num_Dentists,Dentist_Rate,Dentist_Ratio,num_Mental_Health_Providers,Mental_Health_Provider_Rate,Mental_Health_Provider_Ratio,num_Completed_High_School,Population_Age25,perc_Completed_HighSchool,num_Some_College,Population_25_Age_44,perc_Some_college,num_UnemployedAge16,LaborForce_Size,perc_Unemployed,80th_Percentile_Income,20th_Percentile_Income,Income_Ratio,num_Children_SingleParent_Households,num_Children_Overall_Households,perc_Children_SingleParent_Households,num_Associations,Social_Association_Rate,perc_Severe_Housing_Problems,Severe_Housing_Cost_Burdenperc,Overcrowdingperc,Inadequate_Facilitiesperc,num_Food_Insecure,perc_Food_Insecure,num_LimitedAccess_healthyFood,perc_LimitedAccess_HealthyFoods,perc_Adults_Diabetes,95_CI_Low_Adults_Diabetes,95_CI_High_Adults_Diabetes,perc_Insufficient_Sleep,num_Uninsured,perc_Uninsured,Median_Household_Income,95_CI_Low_Median_Household_Income,95_CI_High_Median_Household_Income,Household_Income_NativeAmerican,Household_Income_Asian,Household_Income_Black,Household_Income_Hispanic,Household_Income_white,num_Homeowners,perc_Homeowners,num_Household_Severe_Cost_Burden,perc_Severe_Housing_Cost_Burden,Population,perc_greater18Age,perc65greaterAge,numBlack,percBlack,numNativeAmerican,percNativeAmerican,numAsian,percAsian,numNativeHawaiianPacificIslander,percNativeHawaiianPacificIslander,numHispanic,percHispanic, numNonHispanic_white,percNonHispanic_white,numNotProficient_English,percNotProficient_English,percfemale,numrural_residents,percrural,Qual_Life_Rank,Health_Beh_Rank,Clinical_Care_Rank,Social_Econ_Rank,Phys_Env_Rank
48000,Texas,,,34,32,36,3.6,3.9,6.1,27,80,5114881,21,17804,61,1629:01:00,17691,60,1660:01:00,38679,132,759:01:00,15565117,18449851,84,5106680,8098532,63,1067994,13983343,7.6,128683,26733,4.8,1922773,7363385,26,21804,7.5,17,13,5,1,4092850,14,2099608,8,12,11,13,34,4230735,24,66048,65234,66862,57973,91879,48293,51401,77821,6168808,62,1274018,13,29360759,25.3,13.2,3586857,12.2,307285,1,1584830,5.4,45057,0.2,11691857,39.8,11975667,40.8,1854793,7,50.3,3847522,15.3,,,,,
48001,Texas,Anderson,220,39,38,40,4.6,4.7,6.4,34,26,7415,21,22,38,2624:01:00,25,43,2312:01:00,30,52,1927:01:00,34919,42328,82,7413,18709,40,1312,23325,5.6,89626,21024,4.3,3268,11105,29,53,9.2,13,9,4,1,8400,15,9259,16,13,13,14,38,5930,24,50879,44088,57670,26667,46416,33985,42729,50412,11844,72,1434,9,57805,19,15.3,12194,21.1,433,0.7,542,0.9,116,0.2,10589,18.3,33539,58,1049,2,38.7,39204,67.1,115,220,98,178,120
48003,Texas,Andrews,72,37,36,39,4.2,4.4,8.1,34,93,3532,21,7,37,2672:01:00,4,21,4720:01:00,3,16,6293:01:00,8395,10944,77,1989,4915,40,754,9220,8.2,136021,26969,5,1160,5592,21,13,7,14,6,7,0,1760,10,1213,8,13,12,14,36,2623,24,76600,63099,90101,,,,61563,82470,4220,75,447,8,18879,31.4,9.7,277,1.5,288,1.5,152,0.8,5,0,10898,57.7,7322,38.8,1099,7,49,2440,16.5,62,69,202,169,70
48005,Texas,Angelina,168,39,38,40,4.6,4.9,6.5,35,62,15329,22,54,62,1606:01:00,47,54,1847:01:00,125,144,694:01:00,47590,57331,83,12684,21695,58,2712,35495,7.6,94408,21956,4.3,7532,22127,34,97,11.2,17,12,5,1,15090,17,8469,10,13,13,14,37,12595,26,49943,44031,55855,53611,145217,32037,51238,53668,20617,66,3122,10,86796,25.4,17.1,13051,15,681,0.8,934,1.1,59,0.1,19859,22.9,51778,59.7,2804,3,51.2,37383,43.1,191,166,48,150,205
48007,Texas,Aransas,239,36,35,38,4.6,4.8,5.7,36,77,4085,25,7,30,3359:01:00,7,29,3402:01:00,20,84,1191:01:00,15515,17811,87,2191,4385,50,767,9058,8.5,108314,20425,5.3,1805,4865,37,11,4.7,18,12,4,2,4450,18,3754,16,13,13,14,37,3430,28,51461,42833,60089,,37885,,33715,55341,8117,82,1172,12,23814,18,28.2,328,1.4,318,1.3,473,2,30,0.1,6835,28.7,15732,66.1,440,2,50.5,6313,27.3,183,149,58,219,102
48009,Texas,Archer,13,34,33,36,4,4.7,7.6,27,22,1356,20,,,,,,,,,,5603,6192,90,1201,1929,62,208,3911,5.3,118271,22923,5.2,317,1906,17,8,9.4,10,7,1,2,1240,14,446,5,10,9,10,35,1056,21,69566,58788,80344,,,,41250,66912,2941,84,358,11,8730,21.5,21.2,76,0.9,140,1.6,49,0.6,5,0.1,713,8.2,7675,87.9,89,1,50.7,8057,89,39,54,73,23,50
48011,Texas,Armstrong,102,34,33,35,3.8,4.7,6.3,26,3,254,18,0,0,1887:00:00,0,0,1869:00:00,,,,1219,1338,91,309,412,75,39,914,4.3,125625,37167,3.4,88,456,19,5,26.5,10,7,3,0,240,12,406,21,10,9,10,34,188,19,62256,52647,71865,,,,68821,72946,595,83,49,7,1869,22.3,23.1,16,0.9,28,1.5,10,0.5,0,0,189,10.1,1616,86.5,8,0,51.2,1901,100,56,65,60,1,12
48013,Texas,Atascosa,78,40,38,41,4.3,4.3,7.9,35,37,9579,22,9,18,5684:01:00,22,43,2351:01:00,23,44,2249:01:00,25355,32110,79,5216,12799,41,1843,21822,8.4,108863,25203,4.3,3220,13586,24,30,5.9,16,7,7,1,6140,12,2618,6,14,14,15,36,7773,26,60594,55640,65548,,91198,27632,53030,67107,12279,78,952,6,51724,26.9,15.2,478,0.9,723,1.4,353,0.7,84,0.2,33770,65.3,16650,32.2,2545,5,50.1,27266,60.7,100,79,159,186,123
48015,Texas,Austin,66,35,33,36,4,4.4,8,30,50,5181,22,5,17,6006:01:00,13,43,2306:01:00,11,37,2725:01:00,17861,20394,88,3874,6560,59,897,13638,6.6,120174,24603,4.9,1525,7100,21,34,11.3,14,9,5,2,4000,13,637,2,11,11,12,36,4130,24,60593,49609,71577,,,31395,51482,77296,9075,78,1278,11,29972,23.6,20.7,2597,8.7,258,0.9,261,0.9,13,0,8476,28.3,18218,60.8,1186,4,50.3,18853,66.3,66,25,95,68,130
48017,Texas,Bailey,134,37,35,39,4,4.1,8.5,33,81,1635,28,2,29,3500:01:00,3,45,2232:01:00,2,30,3349:01:00,3180,4080,78,636,1816,35,117,2440,4.8,96050,27196,3.5,276,1967,14,6,8.6,15,4,8,3,770,11,157,2,13,12,14,36,1248,33,48259,39161,57357,,,,49224,68453,1592,77,84,4,6697,29.4,15.5,77,1.1,226,3.4,69,1,9,0.1,4276,63.8,2220,33.1,578,9,50.1,2060,28.8,57,64,209,125,9
48019,Texas,Bandera,71,35,34,37,4,4.5,6.7,29,59,3371,21,5,22,4622:01:00,6,25,3977:01:00,28,117,852:01:00,15667,17461,90,2236,3783,59,574,9835,5.8,113053,25518,4.4,1187,3805,31,22,9.5,11,7,3,1,3540,16,2097,10,11,10,12,35,2831,22,64389,56505,72273,69216,,41875,56008,62526,7540,87,751,9,23861,16.6,29,253,1.1,325,1.4,137,0.6,11,0,4817,20.2,18193,76.2,480,2,50.5,20485,100,67,45,45,71,152
48021,Texas,Bastrop,55,40,38,41,4.1,4.4,7.9,32,46,16504,23,24,27,3697:01:00,29,32,3159:01:00,58,63,1579:01:00,47448,57064,83,10873,20843,52,2557,42573,6,125545,30478,4.1,4948,22133,22,61,6.9,16,9,5,3,10230,12,4125,6,12,12,13,37,13274,26,74612,68290,80934,32202,82721,55725,65536,74610,20557,79,2739,11,91601,25.4,15.8,5948,6.5,1889,2.1,870,0.9,156,0.2,37395,40.8,45744,49.9,3466,4,49.1,47360,63.9,58,102,110,99,135
48023,Texas,Baylor,226,35,34,36,4,4.7,7.5,29,85,432,16,5,142,702:01:00,1,28,3518:01:00,,,,2209,2527,87,339,682,50,62,1767,3.5,83857,16978,4.9,146,796,18,5,14.2,6,5,0,1,580,16,54,1,10,10,11,36,332,18,44392,36172,52612,,,,,,1196,74,70,5,3518,22.8,24.5,76,2.2,35,1,16,0.5,3,0.1,516,14.7,2818,80.1,0,0,50.9,3726,100,157,62,176,53,19
